,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.41431 ± 0.040,0.48235 ± 0.055,0.52020 ± 0.048,0.51177 ± 0.052,0.52322 ± 0.042,0.52554 ± 0.039,0.51912 ± 0.045,0.49244 ± 0.049,0.51868 ± 0.042,0.45499 ± 0.078,0.26085 ± 0.044,0.29011 ± 0.029,0.05080 ± 0.005,0.51750 ± 0.046
Q1_Q3_0.25,0.36187 ± 0.032,0.47226 ± 0.047,0.50282 ± 0.064,0.49452 ± 0.071,0.51034 ± 0.055,0.51060 ± 0.055,0.48400 ± 0.051,0.46605 ± 0.052,0.51209 ± 0.057,0.45164 ± 0.093,0.25253 ± 0.025,0.26052 ± 0.043,0.04880 ± 0.004,0.49184 ± 0.065
Q1_Q4_0.25,0.35658 ± 0.022,0.43625 ± 0.025,0.49166 ± 0.057,0.47381 ± 0.052,0.50711 ± 0.060,0.50577 ± 0.062,0.45751 ± 0.063,0.49729 ± 0.058,0.50495 ± 0.059,0.44504 ± 0.089,0.22738 ± 0.025,0.27203 ± 0.032,0.05064 ± 0.005,0.47532 ± 0.058
Q2_Q3_0.25,0.47323 ± 0.051,0.45325 ± 0.073,0.51381 ± 0.055,0.51157 ± 0.056,0.51401 ± 0.047,0.51156 ± 0.047,0.51710 ± 0.054,0.51669 ± 0.056,0.51445 ± 0.047,0.45138 ± 0.086,0.25653 ± 0.033,0.26008 ± 0.037,0.04854 ± 0.003,0.50914 ± 0.055
Q2_Q4_0.25,0.43106 ± 0.034,0.37957 ± 0.064,0.48251 ± 0.032,0.47385 ± 0.029,0.48377 ± 0.017,0.48714 ± 0.023,0.50078 ± 0.028,0.48371 ± 0.033,0.48185 ± 0.019,0.42809 ± 0.065,0.27008 ± 0.044,0.28811 ± 0.032,0.04880 ± 0.004,0.45897 ± 0.023
Q3_Q4_0.25,0.42315 ± 0.073,0.41167 ± 0.091,0.48197 ± 0.069,0.47225 ± 0.063,0.50064 ± 0.068,0.50561 ± 0.065,0.50330 ± 0.063,0.48719 ± 0.070,0.50678 ± 0.065,0.41409 ± 0.084,0.25596 ± 0.034,0.21897 ± 0.043,0.04948 ± 0.005,0.47792 ± 0.074
Q1_0.25,0.38461 ± 0.079,0.50221 ± 0.056,0.51498 ± 0.046,0.50666 ± 0.050,0.51923 ± 0.040,0.52306 ± 0.040,0.52184 ± 0.039,0.51339 ± 0.056,0.51788 ± 0.039,0.47380 ± 0.081,0.29666 ± 0.019,0.29426 ± 0.018,0.04880 ± 0.004,0.50694 ± 0.059
Q2_0.25,0.49236 ± 0.050,0.49586 ± 0.081,0.51690 ± 0.054,0.51850 ± 0.055,0.51752 ± 0.054,0.51686 ± 0.054,0.52142 ± 0.055,0.52077 ± 0.049,0.51874 ± 0.056,0.45731 ± 0.086,0.27668 ± 0.035,0.28314 ± 0.030,0.04854 ± 0.003,0.51059 ± 0.047
Q3_0.25,0.48868 ± 0.047,0.49466 ± 0.046,0.51866 ± 0.058,0.52158 ± 0.046,0.51014 ± 0.047,0.50975 ± 0.047,0.50802 ± 0.048,0.52627 ± 0.049,0.51236 ± 0.050,0.45753 ± 0.082,0.27910 ± 0.022,0.28645 ± 0.031,0.04948 ± 0.005,0.50885 ± 0.049
Q4_0.25,0.45982 ± 0.038,0.38268 ± 0.047,0.41984 ± 0.015,0.45088 ± 0.054,0.47519 ± 0.065,0.47682 ± 0.063,0.48176 ± 0.048,0.47727 ± 0.052,0.47274 ± 0.065,0.42525 ± 0.082,0.24807 ± 0.028,0.28340 ± 0.028,0.04854 ± 0.003,0.45193 ± 0.068
