,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.75971 ± 0.059,0.84775 ± 0.046,0.80095 ± 0.035,0.76632 ± 0.032,0.80095 ± 0.035,0.77212 ± 0.044,0.79091 ± 0.047,0.76921 ± 0.039,0.78824 ± 0.043,0.76245 ± 0.074,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.80474 ± 0.030
Q1_Q3_0.25,0.71227 ± 0.081,0.77005 ± 0.043,0.82270 ± 0.053,0.77344 ± 0.049,0.82270 ± 0.053,0.81624 ± 0.038,0.81776 ± 0.049,0.81383 ± 0.052,0.82013 ± 0.050,0.77128 ± 0.069,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.81494 ± 0.029
Q1_Q4_0.25,0.64976 ± 0.101,0.50594 ± 0.025,0.66685 ± 0.055,0.61074 ± 0.051,0.66685 ± 0.055,0.65615 ± 0.045,0.66343 ± 0.053,0.67336 ± 0.065,0.66236 ± 0.059,0.65215 ± 0.055,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.67874 ± 0.058
Q2_Q3_0.25,0.76063 ± 0.072,0.81062 ± 0.042,0.84771 ± 0.042,0.80668 ± 0.068,0.85001 ± 0.043,0.85481 ± 0.045,0.84768 ± 0.044,0.84059 ± 0.040,0.85244 ± 0.046,0.83710 ± 0.048,0.47737 ± 0.002,0.47737 ± 0.002,0.48844 ± 0.012,0.84287 ± 0.043
Q2_Q4_0.25,0.68615 ± 0.055,0.62112 ± 0.058,0.74196 ± 0.056,0.68894 ± 0.050,0.74196 ± 0.056,0.72758 ± 0.060,0.74178 ± 0.053,0.74621 ± 0.057,0.74178 ± 0.053,0.66825 ± 0.052,0.47737 ± 0.002,0.47737 ± 0.002,0.47737 ± 0.002,0.74141 ± 0.068
Q3_Q4_0.25,0.73678 ± 0.107,0.54177 ± 0.055,0.83553 ± 0.036,0.76722 ± 0.032,0.83553 ± 0.036,0.83232 ± 0.035,0.82269 ± 0.030,0.82441 ± 0.041,0.83287 ± 0.034,0.77813 ± 0.048,0.48873 ± 0.023,0.49511 ± 0.024,0.47737 ± 0.002,0.80208 ± 0.044
Q1_0.25,0.82505 ± 0.053,0.83921 ± 0.031,0.83829 ± 0.039,0.81247 ± 0.049,0.83829 ± 0.039,0.82994 ± 0.044,0.83110 ± 0.036,0.82264 ± 0.039,0.83595 ± 0.040,0.83432 ± 0.034,0.47737 ± 0.002,0.50074 ± 0.048,0.47737 ± 0.002,0.84168 ± 0.028
Q2_0.25,0.83129 ± 0.038,0.83510 ± 0.035,0.83716 ± 0.034,0.81498 ± 0.034,0.83716 ± 0.034,0.83984 ± 0.032,0.83463 ± 0.035,0.84763 ± 0.031,0.83716 ± 0.034,0.83092 ± 0.038,0.47737 ± 0.002,0.48305 ± 0.011,0.47737 ± 0.002,0.83616 ± 0.037
Q3_0.25,0.83606 ± 0.031,0.77248 ± 0.039,0.87046 ± 0.034,0.82943 ± 0.041,0.87046 ± 0.034,0.86600 ± 0.033,0.86797 ± 0.035,0.85794 ± 0.039,0.86797 ± 0.035,0.82930 ± 0.040,0.49939 ± 0.031,0.48974 ± 0.026,0.47737 ± 0.002,0.86990 ± 0.023
Q4_0.25,0.79286 ± 0.058,0.63070 ± 0.081,0.78127 ± 0.045,0.78250 ± 0.039,0.78127 ± 0.045,0.78802 ± 0.044,0.78418 ± 0.047,0.77273 ± 0.045,0.78418 ± 0.047,0.71882 ± 0.076,0.49965 ± 0.032,0.50666 ± 0.027,0.47737 ± 0.002,0.76989 ± 0.040
