,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Q1_Q2_0.25,0.41012,0.28937,0.32156,0.37988,0.33817,0.3217,0.32607,0.335,0.33715,0.32499,0.34817,0.32923,0.35013,0.32663
Q1_Q3_0.25,0.41272,0.45621,0.30141,0.36558,0.31567,0.30147,0.30662,0.3145,0.31732,0.30536,0.34486,0.30508,0.31644,0.35349
Q1_Q4_0.25,0.48416,0.62753,0.38555,0.4346,0.3997,0.38574,0.3907,0.39831,0.40054,0.38962,0.42876,0.39152,0.39274,0.46019
Q2_Q3_0.25,0.32429,0.51783,0.14568,0.25614,0.17787,0.14572,0.15245,0.15892,0.17363,0.15072,0.2425,0.15163,0.15426,0.28251
Q2_Q4_0.25,0.40433,0.67434,0.29666,0.36261,0.3124,0.29673,0.30266,0.31039,0.31323,0.30129,0.38612,0.30543,0.29257,0.39142
Q3_Q4_0.25,0.40564,0.76454,0.32135,0.38288,0.33548,0.32146,0.32765,0.33518,0.33589,0.32603,0.40899,0.32875,0.30985,0.41643
Q1_0.25,0.46801,0.14176,0.41088,0.45456,0.42875,0.41098,0.41538,0.42336,0.42079,0.41509,0.40981,0.41764,0.43255,0.38243
Q2_0.25,0.3214,0.38078,0.15311,0.26375,0.18795,0.15313,0.1569,0.16029,0.18114,0.15686,0.21484,0.15774,0.17127,0.24531
Q3_0.25,0.32172,0.62724,0.15069,0.2526,0.1831,0.15072,0.15481,0.1594,0.18233,0.15445,0.3043,0.15272,0.14268,0.31321
Q4_0.25,0.48541,0.88055,0.40952,0.4484,0.42237,0.40967,0.41353,0.42258,0.42321,0.41342,0.55804,0.41848,0.39994,0.49992
Q1_Q2_0.5,0.41128,0.28887,0.36322,0.41404,0.37526,0.36341,0.37347,0.38665,0.37626,0.36799,0.35864,0.37008,0.38963,0.31998
Q1_Q3_0.5,0.40792,0.45603,0.31079,0.37007,0.32448,0.3109,0.32563,0.33584,0.32528,0.31746,0.33404,0.316,0.32619,0.3513
Q1_Q4_0.5,0.48471,0.62918,0.38334,0.41979,0.38909,0.38434,0.39382,0.40722,0.39579,0.38765,0.41052,0.38801,0.38749,0.45077
Q2_Q3_0.5,0.322,0.5212,0.1443,0.26228,0.179,0.14433,0.17127,0.17692,0.17588,0.15443,0.24504,0.14951,0.15143,0.27609
Q2_Q4_0.5,0.40868,0.67759,0.31041,0.37117,0.32081,0.31062,0.32704,0.34329,0.32643,0.31795,0.37903,0.31974,0.30295,0.39263
Q3_Q4_0.5,0.40963,0.76492,0.36556,0.41086,0.37273,0.36585,0.37741,0.41202,0.37896,0.37131,0.44609,0.37782,0.35072,0.41421
Q1_0.5,0.478,0.1431,0.43656,0.47946,0.44575,0.43675,0.44058,0.44918,0.44695,0.43945,0.44648,0.44078,0.46011,0.38663
Q2_0.5,0.32621,0.38223,0.15957,0.26757,0.18938,0.1596,0.16495,0.17196,0.18808,0.16392,0.22851,0.16816,0.18464,0.24587
Q3_0.5,0.32869,0.63083,0.16195,0.2674,0.1947,0.16199,0.1673,0.17555,0.19257,0.16673,0.29577,0.17173,0.14772,0.309
Q4_0.5,0.47813,0.87799,0.43561,0.47488,0.44572,0.43574,0.44021,0.44682,0.44478,0.43925,0.52812,0.44321,0.42346,0.50781
Q1_Q2_0.75,0.40832,0.28862,0.42671,0.46041,0.43209,0.4274,0.43822,0.48065,0.43752,0.43084,0.41684,0.42835,0.44292,0.32018
Q1_Q3_0.75,0.40644,0.45672,0.32939,0.38817,0.34195,0.33004,0.35252,0.446,0.34548,0.34084,0.34737,0.33188,0.34502,0.35056
Q1_Q4_0.75,0.48031,0.62894,0.38303,0.41397,0.38863,0.38667,0.39481,0.43282,0.39591,0.38789,0.39938,0.3859,0.38652,0.44965
Q2_Q3_0.75,0.32151,0.51919,0.14448,0.2842,0.18947,0.1445,0.20388,0.3834,0.1768,0.16978,0.24111,0.15197,0.15765,0.27702
Q2_Q4_0.75,0.4119,0.67701,0.32959,0.38173,0.34233,0.34132,0.35711,0.45836,0.34367,0.34225,0.38927,0.33906,0.31986,0.39645
Q3_Q4_0.75,0.40797,0.76355,0.42555,0.46347,0.43288,0.46491,0.44428,0.51969,0.43838,0.43187,0.48863,0.44038,0.42087,0.40666
Q1_0.75,0.47659,0.14309,0.46887,0.50095,0.47843,0.46943,0.47375,0.48207,0.48001,0.47204,0.46886,0.47235,0.49118,0.38229
Q2_0.75,0.32245,0.3808,0.1713,0.27745,0.20267,0.17132,0.1822,0.18716,0.1997,0.17661,0.2314,0.178,0.20439,0.24432
Q3_0.75,0.32022,0.6307,0.17224,0.27785,0.20284,0.17227,0.18372,0.1901,0.19919,0.1784,0.29857,0.18423,0.15141,0.30927
Q4_0.75,0.47568,0.87637,0.46582,0.49411,0.47328,0.46624,0.47204,0.47932,0.476,0.46921,0.53347,0.47341,0.45185,0.5028
Q1_Q2_1.0,0.40513,0.28927,0.52096,0.53216,0.52345,0.52438,0.52422,0.52398,0.53251,0.523,0.48901,0.51998,0.52564,0.3222
Q1_Q3_1.0,0.40875,0.45635,0.36124,0.4009,0.37189,0.38328,0.3905,0.46467,0.37504,0.37668,0.35266,0.36473,0.37716,0.34916
Q1_Q4_1.0,0.48142,0.62994,0.38292,0.39612,0.38529,0.39331,0.39247,0.40932,0.39541,0.38736,0.3926,0.38442,0.38449,0.44933
