,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.79537 ± 0.024,0.87723 ± 0.011,0.80382 ± 0.041,0.80473 ± 0.032,0.80512 ± 0.039,0.80292 ± 0.042,0.79195 ± 0.036,0.79446 ± 0.035,0.79597 ± 0.041,0.79317 ± 0.033,0.47737 ± 0.002,0.47737 ± 0.002,0.71086 ± 0.147,0.80194 ± 0.028
Q1_Q3_0.25,0.81737 ± 0.026,0.78736 ± 0.035,0.84950 ± 0.015,0.82673 ± 0.019,0.84794 ± 0.017,0.84496 ± 0.012,0.84996 ± 0.015,0.84124 ± 0.026,0.85094 ± 0.015,0.81337 ± 0.040,0.47737 ± 0.002,0.47737 ± 0.002,0.83124 ± 0.194,0.83334 ± 0.013
Q1_Q4_0.25,0.72919 ± 0.052,0.63670 ± 0.050,0.72556 ± 0.042,0.69933 ± 0.024,0.72556 ± 0.042,0.72425 ± 0.037,0.72059 ± 0.044,0.72889 ± 0.047,0.71726 ± 0.043,0.72791 ± 0.032,0.47737 ± 0.002,0.47737 ± 0.002,0.74865 ± 0.207,0.73774 ± 0.043
Q2_Q3_0.25,0.81216 ± 0.032,0.83281 ± 0.011,0.85876 ± 0.014,0.83064 ± 0.025,0.85876 ± 0.014,0.85440 ± 0.019,0.85236 ± 0.018,0.85090 ± 0.022,0.85828 ± 0.021,0.83709 ± 0.030,0.47737 ± 0.002,0.47737 ± 0.002,0.75521 ± 0.202,0.84198 ± 0.020
Q2_Q4_0.25,0.76835 ± 0.018,0.70097 ± 0.038,0.77021 ± 0.038,0.74980 ± 0.012,0.77021 ± 0.038,0.76222 ± 0.032,0.76841 ± 0.035,0.77717 ± 0.027,0.76533 ± 0.037,0.74848 ± 0.032,0.47737 ± 0.002,0.47737 ± 0.002,0.83819 ± 0.197,0.77443 ± 0.038
Q3_Q4_0.25,0.79684 ± 0.029,0.66903 ± 0.024,0.81904 ± 0.018,0.78651 ± 0.025,0.81904 ± 0.018,0.80915 ± 0.009,0.80935 ± 0.015,0.80836 ± 0.012,0.81088 ± 0.019,0.77931 ± 0.018,0.47737 ± 0.002,0.47737 ± 0.002,0.65531 ± 0.173,0.80703 ± 0.018
Q1_0.25,0.83380 ± 0.030,0.87207 ± 0.022,0.84313 ± 0.031,0.83720 ± 0.022,0.84470 ± 0.033,0.84465 ± 0.031,0.84024 ± 0.032,0.84028 ± 0.029,0.83885 ± 0.031,0.84517 ± 0.022,0.47737 ± 0.002,0.47737 ± 0.002,0.68250 ± 0.161,0.84833 ± 0.018
Q2_0.25,0.86205 ± 0.013,0.87620 ± 0.011,0.85807 ± 0.029,0.86303 ± 0.019,0.85807 ± 0.029,0.85570 ± 0.026,0.85960 ± 0.028,0.86208 ± 0.022,0.85807 ± 0.029,0.86090 ± 0.023,0.47737 ± 0.002,0.47737 ± 0.002,0.82928 ± 0.209,0.85571 ± 0.023
Q3_0.25,0.86016 ± 0.019,0.83270 ± 0.028,0.87203 ± 0.021,0.88058 ± 0.015,0.87203 ± 0.021,0.87506 ± 0.019,0.87432 ± 0.024,0.85778 ± 0.025,0.87432 ± 0.024,0.86224 ± 0.020,0.47737 ± 0.002,0.47737 ± 0.002,0.74007 ± 0.184,0.87057 ± 0.019
Q4_0.25,0.80744 ± 0.027,0.65908 ± 0.061,0.79984 ± 0.029,0.79630 ± 0.026,0.79984 ± 0.029,0.80160 ± 0.026,0.80321 ± 0.025,0.79416 ± 0.031,0.80321 ± 0.025,0.75068 ± 0.039,0.47737 ± 0.002,0.47737 ± 0.002,0.63825 ± 0.177,0.79335 ± 0.029
