,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.79537,0.87723,0.80382,0.80473,0.80512,0.80292,0.79195,0.79446,0.79597,0.79317,0.47737,0.47737,0.71086,0.80194
Q1_Q3_0.25,0.81737,0.78736,0.84950,0.82673,0.84794,0.84496,0.84996,0.84124,0.85094,0.81337,0.47737,0.47737,0.83124,0.83334
Q1_Q4_0.25,0.72919,0.63670,0.72556,0.69933,0.72556,0.72425,0.72059,0.72889,0.71726,0.72791,0.47737,0.47737,0.74865,0.73774
Q2_Q3_0.25,0.81216,0.83281,0.85876,0.83064,0.85876,0.85440,0.85236,0.85090,0.85828,0.83709,0.47737,0.47737,0.75521,0.84198
Q2_Q4_0.25,0.76835,0.70097,0.77021,0.74980,0.77021,0.76222,0.76841,0.77717,0.76533,0.74848,0.47737,0.47737,0.83819,0.77443
Q3_Q4_0.25,0.79684,0.66903,0.81904,0.78651,0.81904,0.80915,0.80935,0.80836,0.81088,0.77931,0.47737,0.47737,0.65531,0.80703
Q1_0.25,0.83380,0.87207,0.84313,0.83720,0.84470,0.84465,0.84024,0.84028,0.83885,0.84517,0.47737,0.47737,0.68250,0.84833
Q2_0.25,0.86205,0.87620,0.85807,0.86303,0.85807,0.85570,0.85960,0.86208,0.85807,0.86090,0.47737,0.47737,0.82928,0.85571
Q3_0.25,0.86016,0.83270,0.87203,0.88058,0.87203,0.87506,0.87432,0.85778,0.87432,0.86224,0.47737,0.47737,0.74007,0.87057
Q4_0.25,0.80744,0.65908,0.79984,0.79630,0.79984,0.80160,0.80321,0.79416,0.80321,0.75068,0.47737,0.47737,0.63825,0.79335
Q1_Q2_0.5,0.68192,0.86518,0.68690,0.65682,0.68690,0.68336,0.68226,0.69647,0.68367,0.70895,0.47737,0.47737,0.85875,0.68012
Q1_Q3_0.5,0.76782,0.74753,0.79947,0.77566,0.79815,0.75581,0.80394,0.79422,0.78261,0.75053,0.47737,0.47737,0.92192,0.79388
Q1_Q4_0.5,0.59477,0.60174,0.65166,0.62974,0.65525,0.63941,0.64653,0.65715,0.64657,0.65244,0.47737,0.47737,0.64928,0.65591
Q2_Q3_0.5,0.77971,0.76133,0.81922,0.78171,0.81922,0.77918,0.81536,0.79434,0.80103,0.76680,0.47737,0.47737,0.76243,0.82620
Q2_Q4_0.5,0.73508,0.72490,0.76728,0.75385,0.76600,0.75406,0.74724,0.76280,0.75301,0.72476,0.47737,0.47737,0.73565,0.75731
Q3_Q4_0.5,0.73975,0.55082,0.72077,0.68996,0.72404,0.72899,0.69990,0.71532,0.70754,0.69567,0.47737,0.47737,0.66718,0.72147
Q1_0.5,0.72711,0.87977,0.75201,0.70897,0.75201,0.74526,0.74150,0.73905,0.74539,0.72736,0.47737,0.47737,0.82349,0.75580
Q2_0.5,0.82708,0.88301,0.82503,0.80729,0.82503,0.81505,0.83191,0.83663,0.82247,0.82516,0.47737,0.47737,0.87822,0.82878
Q3_0.5,0.83083,0.70514,0.83891,0.80762,0.83891,0.84468,0.83931,0.81285,0.83969,0.79971,0.47737,0.47737,0.66650,0.82786
Q4_0.5,0.77928,0.65493,0.78787,0.78544,0.78654,0.78654,0.78659,0.78228,0.78424,0.77704,0.47737,0.47737,0.72742,0.78748
Q1_Q2_0.75,0.63160,0.88613,0.49971,0.52231,0.50068,0.51220,0.51727,0.50664,0.52284,0.51177,0.47737,0.47737,0.84118,0.51237
Q1_Q3_0.75,0.61256,0.72509,0.69822,0.61335,0.69822,0.63973,0.68006,0.68572,0.69242,0.66618,0.47737,0.47737,0.99226,0.66758
Q1_Q4_0.75,0.50165,0.47737,0.51637,0.52793,0.51637,0.47737,0.52226,0.52204,0.51637,0.51667,0.47737,0.47737,0.83340,0.52227
Q2_Q3_0.75,0.65647,0.82034,0.78629,0.73747,0.78629,0.63574,0.74823,0.78028,0.79111,0.75847,0.47737,0.47737,0.99370,0.78641
Q2_Q4_0.75,0.53204,0.52281,0.57627,0.49509,0.55164,0.52078,0.53381,0.56892,0.54223,0.52330,0.47737,0.47737,0.80634,0.55637
Q3_Q4_0.75,0.64466,0.48276,0.58538,0.56746,0.57634,0.58569,0.53846,0.56522,0.57268,0.57457,0.47737,0.47737,0.59562,0.58203
Q1_0.75,0.73994,0.86872,0.78781,0.73352,0.78781,0.77619,0.77814,0.76544,0.77910,0.74934,0.47737,0.47737,0.91019,0.77679
Q2_0.75,0.75510,0.88437,0.80993,0.75957,0.80525,0.80057,0.79578,0.81271,0.80299,0.79590,0.47737,0.47737,0.93887,0.80260
Q3_0.75,0.78772,0.65204,0.84233,0.81471,0.84233,0.84512,0.85314,0.82680,0.84602,0.75155,0.47737,0.47737,0.76926,0.83837
Q4_0.75,0.59840,0.47737,0.57712,0.56605,0.57712,0.57321,0.57694,0.57205,0.57616,0.51335,0.47737,0.47737,0.68857,0.56739
Q1_Q2_1.0,0.54748,0.90380,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.92387,0.47737
Q1_Q3_1.0,0.56147,0.69448,0.62779,0.58120,0.59883,0.54522,0.56646,0.60388,0.61615,0.60174,0.47737,0.47737,0.88632,0.57650
Q1_Q4_1.0,0.48374,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.74970,0.47737
Q2_Q3_1.0,0.66591,0.78366,0.75316,0.67569,0.75316,0.61100,0.72308,0.75116,0.73692,0.69873,0.47737,0.47737,0.99196,0.72538
Q2_Q4_1.0,0.47737,0.47737,0.49342,0.47722,0.48321,0.48374,0.48321,0.50368,0.47737,0.48321,0.47737,0.47737,0.81910,0.47708
Q3_Q4_1.0,0.50630,0.63482,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.47737,0.68017,0.47737
Q1_1.0,0.63437,0.87123,0.64437,0.61959,0.64373,0.63899,0.63763,0.62820,0.62230,0.62728,0.47737,0.47737,0.82897,0.63908
Q2_1.0,0.72972,0.88777,0.77093,0.71172,0.77276,0.74647,0.76521,0.77117,0.77168,0.77075,0.47737,0.47737,0.92566,0.78919
Q3_1.0,0.76369,0.63643,0.82194,0.81057,0.82334,0.80716,0.81530,0.79338,0.81669,0.76385,0.47737,0.47737,0.74437,0.79757
