,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.41012 ± 0.010,0.28937 ± 0.002,0.32156 ± 0.002,0.37988 ± 0.005,0.32170 ± 0.002,0.33500 ± 0.002,0.32607 ± 0.002,0.33817 ± 0.003,0.32499 ± 0.003,0.34817 ± 0.021,0.35013 ± 0.005,0.32923 ± 0.004,0.32663 ± 0.005,0.33715 ± 0.003
Q1_Q3_0.25,0.41272 ± 0.008,0.45621 ± 0.005,0.30141 ± 0.003,0.36558 ± 0.003,0.30147 ± 0.003,0.31450 ± 0.005,0.30662 ± 0.004,0.31567 ± 0.005,0.30536 ± 0.004,0.34486 ± 0.008,0.31644 ± 0.003,0.30508 ± 0.004,0.35349 ± 0.003,0.31732 ± 0.003
Q1_Q4_0.25,0.48416 ± 0.006,0.62753 ± 0.007,0.38555 ± 0.001,0.43460 ± 0.003,0.38574 ± 0.001,0.39831 ± 0.002,0.39070 ± 0.001,0.39970 ± 0.002,0.38962 ± 0.001,0.42876 ± 0.003,0.39274 ± 0.002,0.39152 ± 0.001,0.46019 ± 0.002,0.40054 ± 0.003
Q2_Q3_0.25,0.32429 ± 0.004,0.51783 ± 0.003,0.14568 ± 0.002,0.25614 ± 0.002,0.14572 ± 0.002,0.15892 ± 0.004,0.15245 ± 0.003,0.17787 ± 0.003,0.15072 ± 0.003,0.24250 ± 0.004,0.15426 ± 0.002,0.15163 ± 0.002,0.28251 ± 0.006,0.17363 ± 0.003
Q2_Q4_0.25,0.40433 ± 0.008,0.67434 ± 0.002,0.29666 ± 0.003,0.36261 ± 0.002,0.29673 ± 0.003,0.31039 ± 0.002,0.30266 ± 0.003,0.31240 ± 0.005,0.30129 ± 0.002,0.38612 ± 0.008,0.29257 ± 0.002,0.30543 ± 0.003,0.39142 ± 0.003,0.31323 ± 0.004
Q3_Q4_0.25,0.40564 ± 0.003,0.76454 ± 0.002,0.32135 ± 0.003,0.38288 ± 0.007,0.32146 ± 0.003,0.33518 ± 0.004,0.32765 ± 0.003,0.33548 ± 0.005,0.32603 ± 0.003,0.40899 ± 0.013,0.30985 ± 0.002,0.32875 ± 0.008,0.41643 ± 0.006,0.33589 ± 0.004
Q1_0.25,0.46801 ± 0.015,0.14176 ± 0.001,0.41088 ± 0.004,0.45456 ± 0.012,0.41098 ± 0.004,0.42336 ± 0.003,0.41538 ± 0.004,0.42875 ± 0.005,0.41509 ± 0.004,0.40981 ± 0.033,0.43255 ± 0.007,0.41764 ± 0.003,0.38243 ± 0.005,0.42079 ± 0.008
Q2_0.25,0.32140 ± 0.006,0.38078 ± 0.002,0.15311 ± 0.003,0.26375 ± 0.005,0.15313 ± 0.003,0.16029 ± 0.004,0.15690 ± 0.003,0.18795 ± 0.004,0.15686 ± 0.003,0.21484 ± 0.016,0.17127 ± 0.005,0.15774 ± 0.006,0.24531 ± 0.004,0.18114 ± 0.003
Q3_0.25,0.32172 ± 0.007,0.62724 ± 0.001,0.15069 ± 0.002,0.25260 ± 0.005,0.15072 ± 0.002,0.15940 ± 0.003,0.15481 ± 0.003,0.18310 ± 0.002,0.15445 ± 0.003,0.30430 ± 0.023,0.14268 ± 0.005,0.15272 ± 0.002,0.31321 ± 0.009,0.18233 ± 0.005
Q4_0.25,0.48541 ± 0.012,0.88055 ± 0.001,0.40952 ± 0.001,0.44840 ± 0.002,0.40967 ± 0.001,0.42258 ± 0.003,0.41353 ± 0.002,0.42237 ± 0.003,0.41342 ± 0.002,0.55804 ± 0.042,0.39994 ± 0.004,0.41848 ± 0.007,0.49992 ± 0.009,0.42321 ± 0.003
Q1_Q2_0.5,0.41128 ± 0.006,0.28887 ± 0.001,0.36322 ± 0.002,0.41404 ± 0.001,0.36341 ± 0.002,0.38665 ± 0.004,0.37347 ± 0.004,0.37526 ± 0.004,0.36799 ± 0.002,0.35864 ± 0.013,0.38963 ± 0.003,0.37008 ± 0.002,0.31998 ± 0.005,0.37626 ± 0.003
Q1_Q3_0.5,0.40792 ± 0.003,0.45603 ± 0.002,0.31079 ± 0.000,0.37007 ± 0.002,0.31090 ± 0.000,0.33584 ± 0.004,0.32563 ± 0.002,0.32448 ± 0.004,0.31746 ± 0.001,0.33404 ± 0.005,0.32619 ± 0.004,0.31600 ± 0.003,0.35130 ± 0.003,0.32528 ± 0.003
Q1_Q4_0.5,0.48471 ± 0.005,0.62918 ± 0.003,0.38334 ± 0.001,0.41979 ± 0.002,0.38434 ± 0.001,0.40722 ± 0.003,0.39382 ± 0.002,0.38909 ± 0.002,0.38765 ± 0.001,0.41052 ± 0.006,0.38749 ± 0.002,0.38801 ± 0.001,0.45077 ± 0.004,0.39579 ± 0.003
