,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.65329 ± 0.042,0.75597 ± 0.049,0.65326 ± 0.027,0.64714 ± 0.044,0.65326 ± 0.027,0.64084 ± 0.024,0.65242 ± 0.036,0.63495 ± 0.035,0.64450 ± 0.031,0.64135 ± 0.038,0.47737 ± 0.002,0.47737 ± 0.002,0.50453 ± 0.007,0.65734 ± 0.028
Q1_Q3_0.25,0.63643 ± 0.034,0.71114 ± 0.041,0.67315 ± 0.049,0.69246 ± 0.039,0.67315 ± 0.049,0.68041 ± 0.049,0.67172 ± 0.050,0.67173 ± 0.055,0.67276 ± 0.044,0.67117 ± 0.052,0.47737 ± 0.002,0.47737 ± 0.002,0.50897 ± 0.014,0.68197 ± 0.038
Q1_Q4_0.25,0.57314 ± 0.076,0.51304 ± 0.014,0.56976 ± 0.055,0.56396 ± 0.056,0.56976 ± 0.055,0.56036 ± 0.046,0.56391 ± 0.062,0.57474 ± 0.058,0.56391 ± 0.062,0.55443 ± 0.043,0.47737 ± 0.002,0.47737 ± 0.002,0.48787 ± 0.015,0.56602 ± 0.045
Q2_Q3_0.25,0.68090 ± 0.023,0.73067 ± 0.044,0.71227 ± 0.038,0.67900 ± 0.050,0.71227 ± 0.038,0.71206 ± 0.040,0.71227 ± 0.038,0.70872 ± 0.041,0.71227 ± 0.038,0.70285 ± 0.035,0.47737 ± 0.002,0.47737 ± 0.002,0.50902 ± 0.014,0.70519 ± 0.033
Q2_Q4_0.25,0.61210 ± 0.035,0.56469 ± 0.037,0.63369 ± 0.065,0.59376 ± 0.053,0.62965 ± 0.065,0.62462 ± 0.058,0.63556 ± 0.055,0.62136 ± 0.054,0.63051 ± 0.057,0.58893 ± 0.035,0.47737 ± 0.002,0.47737 ± 0.002,0.49554 ± 0.016,0.63096 ± 0.040
Q3_Q4_0.25,0.64676 ± 0.039,0.53008 ± 0.025,0.65681 ± 0.037,0.63170 ± 0.019,0.65681 ± 0.037,0.67727 ± 0.033,0.67740 ± 0.034,0.67048 ± 0.024,0.66984 ± 0.030,0.64782 ± 0.031,0.47737 ± 0.002,0.47737 ± 0.002,0.50872 ± 0.008,0.65660 ± 0.041
Q1_0.25,0.66451 ± 0.052,0.72564 ± 0.049,0.68084 ± 0.044,0.67755 ± 0.040,0.67743 ± 0.042,0.67388 ± 0.041,0.68100 ± 0.048,0.67335 ± 0.044,0.67743 ± 0.042,0.67157 ± 0.042,0.47737 ± 0.002,0.47737 ± 0.002,0.49522 ± 0.018,0.67641 ± 0.048
Q2_0.25,0.67785 ± 0.026,0.74628 ± 0.046,0.70448 ± 0.050,0.70136 ± 0.036,0.70448 ± 0.050,0.71198 ± 0.047,0.70831 ± 0.048,0.70122 ± 0.044,0.70505 ± 0.042,0.70491 ± 0.046,0.47737 ± 0.002,0.47737 ± 0.002,0.50811 ± 0.007,0.70164 ± 0.035
Q3_0.25,0.71378 ± 0.037,0.69133 ± 0.049,0.72317 ± 0.044,0.71227 ± 0.038,0.72317 ± 0.044,0.72317 ± 0.044,0.72317 ± 0.044,0.71931 ± 0.049,0.72317 ± 0.044,0.70734 ± 0.053,0.47737 ± 0.002,0.47737 ± 0.002,0.50303 ± 0.022,0.72342 ± 0.040
Q4_0.25,0.67144 ± 0.047,0.54481 ± 0.056,0.65624 ± 0.039,0.66074 ± 0.030,0.65624 ± 0.039,0.65253 ± 0.038,0.65624 ± 0.039,0.65213 ± 0.034,0.65624 ± 0.039,0.62641 ± 0.034,0.47737 ± 0.002,0.47737 ± 0.002,0.50359 ± 0.016,0.64867 ± 0.038
