,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.9047890772299121,0.884440902416926,0.8821844832653589,0.8889418029390427,0.8656118074012937,0.8821462954156081,0.8879925040143739,0.8843819754574526,0.8879964125350558,0.8875314684257983,0.8908064191331361,0.8566709691174307,0.8507166535086151,0.40382967786316426
Climate,0.4776858435681965,0.7213206473558296,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965,0.4776858435681965
Qsar,0.7359120959749059,0.8034399844223035,0.7323063118903959,0.7855191120922949,0.4106436956317146,0.7916195686715801,0.7748211371503199,0.7467972643382933,0.7645519677472548,0.797108755773251,0.6096485432583898,0.569731349718929,0.39807859289633646,0.34329718099296647
Sonar,0.6764815399810581,0.7760324179339226,0.6752107392183742,0.7265884676969969,0.7084490104098586,0.7265918906158965,0.7185514140649543,0.7502602827110424,0.6544677200214732,0.7371718215950714,0.7170595689034597,0.7523769058739219,0.7223658548358778,0.4768361463552802
Yeast,0.13598026667382018,0.2348232388807104,0.16606365007035137,0.07944974578212063,0.10310280474722525,0.12944166966392806,0.09531688037369838,0.12876123789094676,0.13121982822744024,0.12028668407240153,0.18269630916347793,0.08704060992984455,0.03296548227805547,0.00877292972637505
